Ensembl_ID,gene_name,SJALL014946_D1,SJALL014947_D1,SJALL014949_D1,SJALL014950_D1,SJALL014952_D1
ENSG00000201308.1,RNU6-512P,0,0,0,0,0
ENSG00000207654.4,MIR128-1,0,0,280.5836139,457.2473708,234.7087265
ENSG00000144224.17,UBXN4,883.4122718,1631.054671,747.2233997,644.1855733,523.0967397
ENSG00000115850.10,LCT,0.34355926,2.60348577,3.531893304,6.005924845,0.770722295
ENSG00000076003.5,MCM6,283.5830721,146.2726757,73.04761223,159.7826018,207.3765105
ENSG00000121966.8,CXCR4,27603.80829,34206.04577,41533.29065,45345.05508,20963.73814
ENSG00000227347.1,HNRNPKP2,24.40482727,138.7045,92.71985514,106.658134,117.7092144
ENSG00000230037.1,UBBP1,0,19.43710154,0,0,8.055680866
ENSG00000251976.1,RN7SKP141,0,0,112.399964,219.8043741,11.28273403
ENSG00000229568.1,SMC4P1,0,0,9.127418766,59.49724825,4.58106189
ENSG00000144229.13,THSD7B,0.055743217,0.030172934,0.15779835,0.669950888,0.304291554
ENSG00000212425.1,RNA5SP105,0,0,0,0,0
ENSG00000150540.14,HNMT,0.971409476,0.1752696,0.723650999,0.117928311,0.145280505
ENSG00000224231.2,LINC01832,0,0,0,0,0.717411579
ENSG00000234645.3,YWHAEP5,22.18475464,24.01652337,9.915913057,32.31853145,64.69850497
ENSG00000144228.9,SPOPL,227.3992212,127.8168763,111.8784991,83.59223707,57.95304648
ENSG00000237772.2,LINC02631,45.92397979,60.69960632,29.59653243,33.83976289,16.53165813
ENSG00000144227.5,NXPH2,0,0,0.204321314,0,0
ENSG00000222826.1,RN7SKP286,0,0,0,0,0
ENSG00000229104.1,YY1P2,0,0,0,0,0
ENSG00000232992.2,AHCYP4,0,0,0,0,5.787338461
ENSG00000235232.1,MRPS18BP2,0,0,0,0,0
ENSG00000240977.3,RN7SL283P,0,0,0,20.43986591,12.59033566
ENSG00000224028.1,LINC01853,0,0,0,0,0
ENSG00000227149.1,MTCO1P44,0,0,0,0,15.71190648
ENSG00000231567.1,MTND2P19,0,0,0,0,0
ENSG00000223921.1,MTND1P27,0,0,8.408166011,0,0
ENSG00000168702.18,LRP1B,0.017845036,0.019318479,0.039880951,0.003249559,0.036029331
ENSG00000283506.1,MIR7157,0,0,0,0,0
ENSG00000252015.1,RNU6-904P,0,0,0,0,0
ENSG00000228134.1,UBE2V1P14,0,0,0,11.08229714,0
ENSG00000115919.15,KYNU,3.329406536,0.566391833,4.03924754,0.692892366,1.216381769
ENSG00000075884.14,ARHGAP15,27.23921766,15.82829337,25.11115378,20.50653045,9.789474624
ENSG00000224288.2,MTCYBP11,0,0,0,0,0
ENSG00000226839.1,MTND6P11,0,19.03384217,15.71733937,12.80672097,0
ENSG00000224852.1,MTND5P24,19.19496324,0,0,0,0
ENSG00000232772.1,MTND4P22,0,0,0,0,6.510755769
ENSG00000236300.2,MTND4LP12,115.3003574,0,0,0,0
ENSG00000227557.1,MTND3P9,0,0,0,0,0
ENSG00000225476.1,MTCO3P5,0,0,0,0,0
ENSG00000231766.1,MTCO2P5,0,0,0,0,0
